이름,도로명주소,Latitude,Longitude,구
신사파출소,서울 강남구 도산대로 143,37.5183334,127.0241702,강남구
개포지구대,서울 강남구 선릉로 35 1층,37.5006784,127.0489432,강남구
대치지구대,서울 강남구 삼성로 203,37.4947493,127.0624809,강남구
논현1파출소,서울 강남구 학동로 169,37.5138791,127.0293066,강남구
압구정파출소,서울 강남구 압구정로 311,37.5293416,127.0355918,강남구
도곡역 대치지구대 방향 대여소,서울 강남구 대치동 670,37.4927927,127.0557447,강남구
청담파출소,서울 강남구 학동로95길 19,37.5210873,127.053227,강남구
논현2파출소,서울 강남구 학동로 227,37.5152074,127.0338473,강남구
삼성1파출소,서울 강남구 영동대로112길 4,37.5148489,127.0605684,강남구
일원지구대,서울 강남구 영동대로3길 27,37.50727,127.0639018,강남구
역삼지구대,서울 강남구 언주로108길 20,37.5083524,127.0409897,강남구
압구정파출소 앞 대여소,서울 강남구 압구정로 311,37.5293416,127.0355918,강남구
수서파출소,서울 강남구 밤고개로1길 48,37.4891379,127.1047973,강남구
도곡지구대,서울 강남구 언주로 426,37.5055798,127.0414738,강남구
대왕파출소,서울 강남구 헌릉로 623,37.4651386,127.107375,강남구
삼성2파출소,서울 강남구 선릉로 626,37.5123831,127.0433888,강남구
성내지구대,서울 강동구 성내로 57 1층,37.5286822,127.1267357,강동구
명일파출소 공영주차장,서울 강동구 명일동 47-9,37.5536013,127.1558989,강동구
강일파출소,서울 강동구 아리수로91길 20,37.5648437,127.1732748,강동구
둔촌파출소,서울 강동구 양재대로 1340,37.5408397,127.1405618,강동구
명일파출소 개방화장실,서울 강동구 동남로 895,37.5536205,127.1560818,강동구
명일파출소 대여소,서울 강동구 명일동 47-20,37.5535784,127.1562073,강동구
천호1동주민센터,서울 강동구 구천면로42길 59,37.54505,127.1368011,강동구
상일파출소 옆 대여소,서울 강동구 상일동 519-3,37.5567754,127.168045,강동구
상일파출소,서울 강동구 고덕로80길 7,37.5561836,127.1658284,강동구
둔촌파출소 개방화장실,서울 강동구 진황도로 239,37.5253425,127.1456295,강동구
강일지구대 개방화장실,서울 강동구 아리수로91길 20,37.5648437,127.1732748,강동구
명일파출소,서울 강동구 동남로 895,37.5536205,127.1560818,강동구
암사지구대,서울 강동구 고덕로 137,37.5549715,127.1408199,강동구
길동지구대,서울 강동구 진황도로 239,37.5253425,127.1456295,강동구
천호지구대 개방화장실,서울 강동구 구천면로 141,37.5426262999999,127.1206616,강동구
천호지구대,서울 강동구 구천면로 141,37.5426262999999,127.1206616,강동구
고덕파출소,서울 강동구 고덕로61길 61,37.5573421,127.1517305,강동구
암사지구대 개방화장실,서울 강동구 고덕로 137,37.5549715,127.1408199,강동구
번3파출소,서울 강북구 월계로 227,37.6236112,127.0481447,강북구
삼양파출소,서울 강북구 삼양로 239-1,37.6248025,127.0181839,강북구
수유3파출소,서울 강북구 한천로150길 76,37.6443456,127.026571,강북구
번동파출소,서울 강북구 한천로 969,37.63599,127.0326008,강북구
문화파출소 강북,서울 강북구 삼양로 457,37.6441756,127.0157862,강북구
인수파출소,서울 강북구 인수봉로 227,37.6394394,127.0123991,강북구
번3파출소 개방화장실,서울 강북구 월계로 227,37.6236112,127.0481447,강북구
수유1파출소 개방화장실,서울 강북구 삼양로 305,37.6306502,127.0175895,강북구
미아지구대,서울 강북구 도봉로 127,37.6201611,127.0282954,강북구
수유2파출소 개방화장실,서울 강북구 삼각산로 115,37.6409113,127.0171016,강북구
인수파출소 개방화장실,서울 강북구 인수봉로 227,37.6394394,127.0123991,강북구
솔샘지구대,서울 강북구 오현로 4,37.6163126,127.0303989,강북구
솔샘지구대 개방화장실,서울 강북구 오현로 4,37.6163126,127.0303989,강북구
번동파출소 개방화장실,서울 강북구 한천로 969,37.63599,127.0326008,강북구
미아지구대 개방화장실,서울 강북구 도봉로 127,37.6201611,127.0282954,강북구
수유1파출소,서울 강북구 삼양로 305,37.6306502,127.0175895,강북구
삼양파출소 개방화장실,서울 강북구 삼양로 239-1,37.6248025,127.0181839,강북구
수유3파출소 개방화장실,서울 강북구 한천로150길 76,37.6443456,127.026571,강북구
수유2파출소,서울 강북구 삼각산로 115,37.6409113,127.0171016,강북구
수유6치안센터,서울 강북구 삼양로 457,37.6441756,127.0157862,강북구
한국방범기동순찰대,서울 강북구 인수봉로23길 57,37.6372691,126.9969894,강북구
송중동33통자율방범초소,서울 강북구 미아동 산 25-67,37.6217879,127.0335887,강북구
가양지구대,서울 강서구 화곡로65길 63,37.5592835,126.85012,강서구
발산파출소 개방화장실,서울 강서구 수명로2길 46,37.5493916,126.8260837,강서구
염창파출소 개방화장실,서울 강서구 염창동 272-1,37.5518991,126.8674085,강서구
